"fips","city","pop","white","black","asian","other","hisp"
"060830029241000","iv",758,64.6437994722955,1.18733509234828,13.5883905013193,5.27704485488127,16.754617414248
"060830029241001","iv",341,46.3343108504399,1.17302052785924,26.9794721407625,10.8504398826979,17.0087976539589
"060830029241002","iv",436,54.3577981651376,0.458715596330275,16.9724770642202,5.5045871559633,16.5137614678899
"060830029242000","iv",1024,46.58203125,2.05078125,26.85546875,9.1796875,21.6796875
"060830029242001","iv",102,59.8039215686275,2.94117647058824,8.82352941176471,17.6470588235294,33.3333333333333
"060830029242002","iv",158,45.5696202531646,3.79746835443038,21.5189873417722,6.32911392405063,26.5822784810127
"060830029242003","iv",134,42.5373134328358,0.746268656716418,33.5820895522388,2.98507462686567,20.1492537313433
"060830029242004","iv",45,53.3333333333333,8.88888888888889,11.1111111111111,11.1111111111111,22.2222222222222
"060830029242005","iv",119,36.1344537815126,3.36134453781513,24.3697478991597,21.8487394957983,39.4957983193277
"060830029242006","iv",114,52.6315789473684,2.63157894736842,21.0526315789474,7.01754385964912,19.2982456140351
"060830029242007","iv",206,57.7669902912621,1.45631067961165,21.8446601941748,2.9126213592233,23.3009708737864
"060830029243000","iv",271,71.2177121771218,2.2140221402214,18.0811808118081,3.3210332103321,11.070110701107
"060830029243001","iv",174,39.0804597701149,4.59770114942529,32.183908045977,15.5172413793103,31.6091954022989
"060830029243002","iv",193,45.0777202072539,3.62694300518135,31.6062176165803,10.3626943005181,30.0518134715026
"060830029243003","iv",152,44.078947368421,0,25,21.0526315789474,36.1842105263158
"060830029243004","iv",156,31.4102564102564,3.2051282051282,17.9487179487179,26.2820512820513,39.1025641025641
"060830029244000","iv",513,30.9941520467836,2.92397660818713,45.224171539961,12.0857699805068,27.2904483430799
"060830029244001","iv",198,28.2828282828283,2.02020202020202,19.6969696969697,43.9393939393939,45.959595959596
"060830029244002","iv",259,37.0656370656371,2.7027027027027,47.8764478764479,8.10810810810811,12.3552123552124
"060830029244003","iv",125,33.6,3.2,16,31.2,44.8
"060830029244004","iv",130,42.3076923076923,3.84615384615385,31.5384615384615,13.0769230769231,17.6923076923077
"060830029244005","iv",136,50,0.735294117647059,30.8823529411765,6.61764705882353,24.2647058823529
"060830029244006","iv",226,49.1150442477876,2.65486725663717,26.1061946902655,11.0619469026549,21.2389380530973
"060830029244007","iv",77,53.2467532467532,0,15.5844155844156,22.0779220779221,29.8701298701299
"060830029244008","iv",8,100,0,0,0,87.5
"060830029261000","iv",1051,43.5775451950523,3.99619410085633,12.9400570884872,20.5518553758325,41.1988582302569
"060830029261001","iv",854,37.1194379391101,5.3864168618267,29.6252927400468,11.943793911007,28.5714285714286
"060830029262000","iv",387,51.937984496124,1.55038759689922,15.7622739018088,14.2118863049096,32.2997416020672
"060830029262001","iv",270,49.2592592592593,0.37037037037037,16.6666666666667,9.25925925925926,30.7407407407407
"060830029262002","iv",332,52.4096385542169,0.903614457831325,21.9879518072289,4.51807228915663,18.6746987951807
"060830029262003","iv",380,57.3684210526316,4.47368421052632,12.6315789473684,17.3684210526316,26.0526315789474
"060830029262004","iv",463,60.2591792656587,1.07991360691145,19.8704103671706,6.0475161987041,21.1663066954644
"060830029263000","iv",1755,38.8034188034188,1.70940170940171,21.6524216524217,19.0883190883191,35.8974358974359
"060830029332000","ucsb",2598,61.9322555812163,0.500384911470362,10.1231716705158,15.6274056966898,39.4919168591224
"060830029332001","ucsb",0,NA,NA,NA,NA,NA
"060830029332002","ucsb",0,NA,NA,NA,NA,NA
"060830029332003","ucsb",0,NA,NA,NA,NA,NA
"060830029333003","goleta",378,46.8253968253968,0.264550264550265,17.4603174603175,20.6349206349206,35.1851851851852
"060830029333004","goleta",28,32.1428571428571,35.7142857142857,0,10.7142857142857,25
"060830029333005","goleta",90,61.1111111111111,6.66666666666667,12.2222222222222,0,5.55555555555556
"060830029333006","goleta",0,NA,NA,NA,NA,NA
"060830029333007","goleta",93,64.5161290322581,4.3010752688172,15.0537634408602,8.60215053763441,22.5806451612903
"060830029333008","goleta",105,43.8095238095238,0,29.5238095238095,6.66666666666667,8.57142857142857
"060830029333009","goleta",68,73.5294117647059,1.47058823529412,10.2941176470588,0,19.1176470588235
"060830029333010","goleta",34,23.5294117647059,5.88235294117647,26.4705882352941,11.7647058823529,44.1176470588235
"060830029333011","goleta",46,67.3913043478261,2.17391304347826,21.7391304347826,0,4.34782608695652
"060830029333012","goleta",25,68,4,12,8,8
"060830029333013","ucsb",0,NA,NA,NA,NA,NA
"060830029334000","ucsb",1126,55.9502664298401,0.710479573712256,15.5417406749556,13.6767317939609,34.6358792184725
"060830029334001","ucsb",72,54.1666666666667,0,19.4444444444444,4.16666666666667,20.8333333333333
"060830029334002","ucsb",107,54.2056074766355,3.73831775700935,26.1682242990654,11.214953271028,30.8411214953271
"060830029334003","ucsb",26,46.1538461538462,0,3.84615384615385,23.0769230769231,61.5384615384615
"060830029334004","ucsb",29,68.9655172413793,0,10.3448275862069,3.44827586206897,34.4827586206897
"060830029334005","ucsb",32,75,3.125,3.125,15.625,28.125
"060830029334006","ucsb",19,42.1052631578947,10.5263157894737,10.5263157894737,10.5263157894737,42.1052631578947
"060830029334007","ucsb",65,66.1538461538461,0,27.6923076923077,4.61538461538462,9.23076923076923
"060830029334008","ucsb",53,69.811320754717,1.88679245283019,9.43396226415094,11.3207547169811,11.3207547169811
"060830029361000","iv",79,67.0886075949367,1.26582278481013,8.86075949367089,6.32911392405063,12.6582278481013
