"fips","city","pop","white","black","asian","other"
"060830029221001","sb",0,NA,NA,NA,NA
"060830029221002","sb",0,NA,NA,NA,NA
"060830029221003","sb",0,NA,NA,NA,NA
"060830029221004","sb",775,55.741935483871,2.32258064516129,18.8387096774194,15.3548387096774
"060830029221005","sb",1455,60.7560137457045,4.46735395189003,16.6323024054983,11.4776632302405
"060830029221006","sb",0,NA,NA,NA,NA
"060830029221007","sb",0,NA,NA,NA,NA
"060830029221008","sb",1472,54.9592391304348,5.29891304347826,19.2934782608696,12.6358695652174
"060830029241000","iv",378,73.2804232804233,2.64550264550265,11.1111111111111,6.34920634920635
"060830029241001","iv",405,76.7901234567901,1.48148148148148,9.1358024691358,5.67901234567901
"060830029241002","iv",541,83.3641404805915,0.739371534195933,9.05730129390018,1.29390018484288
"060830029241003","iv",206,76.6990291262136,3.39805825242718,9.22330097087379,5.8252427184466
"060830029242000","iv",116,72.4137931034483,2.58620689655172,12.0689655172414,5.17241379310345
"060830029242001","iv",68,67.6470588235294,0,11.7647058823529,13.2352941176471
"060830029242002","iv",149,73.8255033557047,0,14.7651006711409,8.7248322147651
"060830029242003","iv",136,51.4705882352941,2.94117647058824,26.4705882352941,14.7058823529412
"060830029242004","iv",56,60.7142857142857,7.14285714285714,1.78571428571429,21.4285714285714
"060830029242005","iv",160,55,0,20.625,11.25
"060830029242006","iv",115,62.6086956521739,0,15.6521739130435,16.5217391304348
"060830029242007","iv",70,61.4285714285714,0,20,5.71428571428571
"060830029242008","iv",248,62.9032258064516,0.403225806451613,11.2903225806452,16.5322580645161
"060830029242009","iv",234,73.0769230769231,2.56410256410256,13.6752136752137,5.55555555555556
"060830029242010","iv",132,78.030303030303,2.27272727272727,9.09090909090909,4.54545454545455
"060830029242011","iv",127,59.8425196850394,3.1496062992126,14.9606299212598,11.8110236220472
"060830029243000","iv",169,80.4733727810651,2.36686390532544,12.4260355029586,1.77514792899408
"060830029243001","iv",229,67.6855895196507,1.74672489082969,12.6637554585153,11.353711790393
"060830029243002","iv",210,53.3333333333333,1.42857142857143,20,20.4761904761905
"060830029243003","iv",149,52.3489932885906,1.34228187919463,22.1476510067114,19.4630872483221
"060830029243004","iv",161,40.9937888198758,0,38.5093167701863,18.0124223602484
"060830029243005","iv",96,88.5416666666667,1.04166666666667,5.20833333333333,1.04166666666667
"060830029244000","iv",279,70.2508960573477,1.0752688172043,12.5448028673835,10.3942652329749
"060830029244001","iv",172,66.2790697674419,0.581395348837209,13.953488372093,12.2093023255814
"060830029244002","iv",469,83.5820895522388,2.55863539445629,5.54371002132196,3.19829424307036
"060830029244003","iv",122,47.5409836065574,0.819672131147541,17.2131147540984,29.5081967213115
"060830029244004","iv",102,82.3529411764706,3.92156862745098,6.86274509803922,1.96078431372549
"060830029244005","iv",111,62.1621621621622,2.7027027027027,13.5135135135135,16.2162162162162
"060830029244006","iv",301,59.8006644518272,2.6578073089701,18.6046511627907,13.2890365448505
"060830029244007","iv",122,48.3606557377049,0,1.63934426229508,45.9016393442623
"060830029244008","iv",0,NA,NA,NA,NA
"060830029261000","iv",887,50.0563697857948,3.49492671927847,11.6121758737317,29.4250281848929
"060830029261001","iv",780,60.6410256410256,2.43589743589744,13.4615384615385,18.8461538461538
"060830029262000","iv",387,70.0258397932816,1.80878552971576,10.8527131782946,12.4031007751938
"060830029262001","iv",271,76.3837638376384,0,11.070110701107,7.01107011070111
"060830029262002","iv",378,78.0423280423281,1.32275132275132,9.52380952380952,5.55555555555556
"060830029262003","iv",464,72.6293103448276,1.93965517241379,9.91379310344828,7.32758620689655
"060830029262004","iv",487,80.082135523614,0.82135523613963,8.0082135523614,5.95482546201232
"060830029263000","iv",1674,58.0645161290323,2.389486260454,11.8279569892473,21.6845878136201
"060830029281011","iv",257,47.0817120622568,1.55642023346304,7.78210116731517,38.9105058365759
"060830029281012","iv",239,79.9163179916318,2.51046025104602,8.78661087866109,5.43933054393306
"060830029281013","iv",256,75.390625,1.171875,6.25,10.15625
"060830029281014","iv",267,81.6479400749064,1.12359550561798,8.23970037453183,2.99625468164794
"060830029281017","iv",389,80.2056555269923,0.77120822622108,8.48329048843188,4.37017994858612
"060830029281018","iv",359,83.2869080779944,0.835654596100279,6.4066852367688,4.17827298050139
"060830029281019","iv",76,85.5263157894737,0,2.63157894736842,3.94736842105263
"060830029282000","iv",1341,53.5421327367636,3.72856077554064,16.1073825503356,21.7002237136465
"060830029282001","iv",0,NA,NA,NA,NA
"060830029151000","goleta",0,NA,NA,NA,NA
"060830029151002","goleta",0,NA,NA,NA,NA
"060830029151005","goleta",117,85.4700854700855,0,6.83760683760684,4.27350427350427
"060830029224017","goleta",87,80.4597701149425,0,16.0919540229885,0
"060830029224018","goleta",97,75.2577319587629,3.09278350515464,7.21649484536082,7.21649484536082
"060830029224019","goleta",0,NA,NA,NA,NA
"060830029224020","goleta",59,84.7457627118644,1.69491525423729,11.864406779661,0
"060830029224024","goleta",72,88.8888888888889,0,5.55555555555556,5.55555555555556
"060830029224025","goleta",17,88.2352941176471,0,11.7647058823529,0
"060830029224026","goleta",18,94.4444444444444,0,5.55555555555556,0
"060830029224027","goleta",96,72.9166666666667,0,16.6666666666667,0
"060830029224028","goleta",94,85.1063829787234,1.06382978723404,0,5.31914893617021
"060830029224029","goleta",0,NA,NA,NA,NA
"060830029224030","goleta",0,NA,NA,NA,NA
"060830029224031","goleta",21,76.1904761904762,4.76190476190476,9.52380952380952,0
"060830029305001","goleta",332,36.4457831325301,8.13253012048193,21.9879518072289,21.6867469879518
